Region,Component,AnalogYear,ΔBasis ($)_+2wk,ΔBasis ($)_+3wk,ΔBasis ($)_+4wk,ΔBasis (%)_+2wk,ΔBasis (%)_+3wk,ΔBasis (%)_+4wk
South Central,ANR-SE-T,2023,-0.03860000000000019,-0.03340000000000032,-0.026599999999999735,-156.2753036437244,-135.22267206477773,-107.69230769230589
South Central,ANR-SW,2023,0.04479999999999973,0.0712999999999997,-0.18569999999999998,-22.355289421157558,-35.57884231536912,92.66467065868267
South Central,APC-ACE,2023,0.08709999999999973,0.03679999999999972,-0.20179999999999976,-55.161494616845964,-23.305889803673043,127.80240658644702
South Central,Carthage,2023,-0.06850000000000045,-0.05290000000000039,-0.2847000000000002,56.42504118616195,43.57495881383897,234.51400329489357
South Central,FGT-Z3,2023,-0.021700000000000053,0.6875,0.645,-18.250630782169935,578.2169890664424,542.4726661059714
South Central,HSC-HPL Pool,2023,0.13829999999999965,-0.042500000000000426,-0.2599999999999998,-246.52406417112317,75.75757575757677,463.4581105169352
South Central,NGPL-STX,2023,0.0682999999999998,0.03249999999999975,-0.22999999999999998,-48.40538625088583,-23.033309709425797,163.00496102055305
South Central,NGPL-TXOK East,2023,0.03829999999999956,-0.002500000000000391,-0.2649999999999997,-24.53555413196642,1.601537475977189,169.7629724535553
South Central,Pine Prairie,2023,-0.031700000000000284,0.022499999999999964,-0.01499999999999968,121.45593869731903,-86.20689655172397,57.47126436781485
South Central,Sonat-Z0 South,2023,0.03329999999999966,0.25749999999999984,0.16000000000000014,-107.07395498392206,-827.9742765273331,-514.4694533762079
South Central,TETCO-ELA,2023,-0.021700000000000497,0.04749999999999943,-0.08999999999999986,26.757090012331158,-58.569667077681366,110.97410604192375
South Central,TETCO-STX,2023,-0.0017000000000000348,0.04249999999999998,-0.1349999999999998,6.513409961685953,-162.83524904214545,517.2413793103437
South Central,TETCO-WLA,2023,0.0032999999999994145,0.037499999999999645,-0.015000000000000124,-9.141274238225575,-103.87811634348989,41.55124653739669
South Central,TGP-500L,2023,0.03329999999999966,0.2524999999999995,0.16000000000000014,-41.06041923551144,-311.3440197287304,-197.28729963008715
South Central,TGP-800L,2023,0.0383,0.05249999999999977,-0.09999999999999964,-57.94251134644474,-79.42511346444739,151.28593040847136
South Central,TGP-Z0 South,2023,0.09829999999999983,-0.0125000000000004,-0.19999999999999996,-65.05625413633354,8.272667107875856,132.36267372600943
South Central,TGP-Z1 100L,2023,0.03829999999999978,0.01749999999999985,-0.22499999999999987,-26.21492128678974,-11.978097193702848,154.00410677618072
South Central,TGP-Z1 Sta-87,2023,0.0358999999999996,-0.0028000000000003578,-0.2247999999999999,-24.605894448251966,1.919122686772008,154.07813570938998
South Central,TGT-Mainline,2023,0.0032999999999996366,-0.017500000000000293,-0.2550000000000001,-2.5171624713956082,13.34858886346325,194.50800915331848
South Central,Transco Zn3,2023,0.023299999999999876,0.18249999999999966,0.13000000000000034,-45.596868884539944,-357.14285714285705,-254.40313111546092
South Central,Transco-30,2023,0.03829999999999978,-0.007500000000000506,-0.22499999999999987,-44.483159117305284,8.710801393728827,261.32404181184705
South Central,Transco-45,2023,0.04829999999999934,0.07249999999999979,0.029999999999999805,-59.5561035758317,-89.3958076448829,-36.99136868064107
South Central,Transco-65,2023,0.023399999999999643,0.20459999999999967,0.14959999999999996,-47.27272727272688,-413.33333333333553,-302.2222222222243
South Central,Transco-85,2023,0.04829999999999979,0.25749999999999984,0.18999999999999995,-94.52054794520521,-503.91389432485363,-371.8199608610572
South Central,Transco-Z5 South,2023,0.023299999999999432,0.28249999999999975,0.16500000000000004,53.075170842822985,643.5079726651435,375.85421412300457
South Central,Trunkline-Z1A,2023,0.2332999999999994,0.05249999999999977,-0.020000000000000018,-59.65226284837626,-13.423676809000204,5.113781641523914
South Central,Waha,2023,0.3575999999999999,0.1481999999999999,-0.017699999999999827,-67.10452242446988,-27.810095702758474,3.3214486770500713
