Component,Entry Date,Exit Date,Signal,Entry Price,Exit Price,Holding Days Actual,Return,ΔStorage,ΔTemp/HDD/CDD,Price Momentum,Basis Deviation,ΔLNG Feed Gas,Nuclear Drop,Managed Money,Upcoming Outage Risk,Forecasted Balance,SMA Crossover,Volatility Breakout,Confidence
AGT-CG (non-G),2024-10-17,2024-10-24,STRONG BUY,2.075,1.91,7,-0.07951807228915675,0,3,1,2,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-10-24,2024-10-31,STRONG BUY,1.91,1.795,7,-0.060209424083769635,0,1,1,1,0,3,0,1,0,1,1,0.6363636363636364
AGT-CG (non-G),2024-10-25,2024-11-01,STRONG BUY,1.995,1.615,7,-0.19047619047619052,0,1,1,1,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-11-15,2024-11-22,STRONG BUY,2.015,3.115,7,0.5459057071960298,0,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-11-20,2024-11-27,STRONG BUY,2.2,4.535,7,1.0613636363636363,0,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-11-21,2024-11-28,STRONG BUY,2.84,4.535,7,0.5968309859154931,0,3,1,2,0,3,0,1,0,1,1,0.6363636363636364
AGT-CG (non-G),2024-11-22,2024-11-29,STRONG BUY,3.115,4.535,7,0.4558587479935794,0,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-11-26,2024-12-03,STRONG BUY,3.335,13.795,7,3.136431784107946,0,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2024-11-27,2024-12-04,STRONG BUY,4.535,7.78,7,0.7155457552370452,0,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
AGT-CG (non-G),2024-12-01,2024-12-08,STRONG BUY,9.815,7.285,7,-0.2577687213448802,0,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2024-12-03,2024-12-10,STRONG BUY,13.795,3.55,7,-0.742660384197173,0,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2024-12-05,2024-12-12,STRONG BUY,10.04,11.9,7,0.18525896414342644,0,3,1,2,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-12-06,2024-12-13,STRONG BUY,14.82,12.75,7,-0.1396761133603239,0,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-12-12,2024-12-19,STRONG BUY,11.9,4.965,7,-0.5827731092436975,0,3,1,1,0,1,0,1,0,1,1,0.6363636363636364
AGT-CG (non-G),2024-12-13,2024-12-20,STRONG BUY,12.75,10.595,7,-0.16901960784313722,0,3,1,2,0,1,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-12-23,2024-12-30,STRONG BUY,16.415,3.45,7,-0.7898263783125191,0,3,1,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2023-03-03,2023-03-10,STRONG BUY,2.6907,2.5033,7,-0.06964730367562352,-1,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2023-03-15,2023-03-22,STRONG BUY,2.5752,1.9077,7,-0.25920316868592735,-1,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2023-04-29,2023-05-05,STRONG BUY,2.2684,1.9943,6,-0.12083406806559699,-1,1,2,1,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2023-05-17,2023-05-24,STRONG BUY,2.3586,2.2197,7,-0.05889086746374969,-1,3,2,2,0,3,0,1,0,-1,1,0.5454545454545454
ANR-SE-T,2023-05-18,2023-05-25,STRONG BUY,2.2736,2.2808,7,0.003166783954961337,-1,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2023-05-19,2023-05-26,STRONG BUY,2.3458,2.1878,7,-0.06735442066672347,-1,3,1,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2023-06-14,2023-06-21,STRONG BUY,2.0944,2.3805,7,0.1366023682200154,-1,3,1,1,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2023-06-15,2023-06-22,STRONG BUY,2.18,2.27,7,0.041284403669724704,-1,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2023-06-16,2023-06-23,STRONG BUY,2.1786,2.2789,7,0.04603874047553488,-1,3,1,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2023-06-21,2023-06-28,STRONG BUY,2.3805,2.7155,7,0.14072673808023523,-1,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2023-06-22,2023-06-29,STRONG BUY,2.27,2.6599,7,0.1717621145374449,-1,3,1,1,0,3,0,1,0,1,-1,0.5454545454545454
ANR-SE-T,2023-06-23,2023-06-30,STRONG BUY,2.2789,2.4899,7,0.092588529553732,-1,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2023-06-27,2023-07-04,STRONG BUY,2.6347,2.6525,7,0.0067559873989447815,-1,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2023-06-28,2023-07-04,STRONG BUY,2.7155,2.6525,6,-0.023200147302522615,-1,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2023-07-27,2023-08-03,STRONG BUY,2.6202,2.3738,7,-0.0940386230058774,-1,3,1,1,0,3,0,1,0,1,-1,0.5454545454545454
ANR-SE-T,2023-09-02,2023-09-09,STRONG BUY,2.7262,2.5308,7,-0.07167485877778586,-1,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2023-09-13,2023-09-20,STRONG BUY,2.6309,2.819,7,0.07149644608308942,-1,3,1,1,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2023-09-14,2023-09-21,STRONG BUY,2.6853,2.7584,7,0.027222284288533932,-1,3,1,1,0,3,0,1,0,-1,1,0.5454545454545454
ANR-SE-T,2023-09-15,2023-09-22,STRONG BUY,2.7761,2.6811,7,-0.03422066928424775,-1,3,2,2,0,3,0,1,0,-1,1,0.5454545454545454
ANR-SE-T,2023-09-20,2023-09-27,STRONG BUY,2.819,2.604,7,-0.07626818020574667,-1,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2023-09-21,2023-09-28,STRONG BUY,2.7584,2.707,7,-0.01863399071925758,-1,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2023-09-28,2023-10-05,STRONG BUY,2.707,2.9154,7,0.07698559290727748,-1,3,1,1,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2023-09-29,2023-10-06,STRONG BUY,2.7274,2.9678,7,0.08814255334751052,-1,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2023-10-04,2023-10-11,STRONG BUY,2.7812,3.26,7,0.1721559039263626,-1,3,1,1,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2023-10-05,2023-10-12,STRONG BUY,2.9154,3.1352,7,0.0753927419908075,-1,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2023-10-06,2023-10-13,STRONG BUY,2.9678,3.1605,7,0.06493025136464717,-1,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2023-10-07,2023-10-14,STRONG BUY,3.1605,3.1071,7,-0.016896060749881314,-1,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2023-11-01,2023-11-08,STRONG BUY,3.2136,2.0001,7,-0.3776138909634055,-1,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2023-12-28,2024-01-02,STRONG BUY,2.55,2.475,5,-0.029411764705882252,-1,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2024-01-05,2024-01-12,STRONG BUY,2.845,3.01,7,0.057996485061511276,-1,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2024-01-10,2024-01-17,STRONG BUY,3.295,3.435,7,0.04248861911987864,-1,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2024-01-13,2024-01-20,STRONG BUY,15.235,2.6175,7,-0.8281916639317362,-1,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2024-02-29,2024-03-07,STRONG BUY,1.64,1.65,7,0.0060975609756097615,-1,1,2,1,0,3,0,1,0,-1,1,0.5454545454545454
ANR-SE-T,2024-03-07,2024-03-14,STRONG BUY,1.65,1.195,7,-0.2757575757575757,-1,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2024-04-01,2024-04-08,STRONG BUY,1.575,1.605,7,0.019047619047619067,-1,1,2,1,0,0,0,1,0,1,1,0.5454545454545454
