Date,Item,Value
2015-01-09,IESO - Natural Gas,50126.0
2015-01-09,IESO - Nuclear Power,284977.0
2015-01-09,IESO - PeakLoad,20623
2015-01-09,IESO - Total Generation,508182.0
2015-01-09,IESO - Wind,59106.0
2015-01-09,ISONE - Coal,39624
2015-01-09,ISONE - Hydro,24764
2015-01-09,ISONE - Natural Gas,138816
2015-01-09,ISONE - Nuclear Power,96929
2015-01-09,ISONE - Other,20834
2015-01-09,ISONE - PeakLoad,19073
2015-01-09,ISONE - Residual Oil,13607
2015-01-09,ISONE - Solar Thermal,305
2015-01-09,ISONE - Total Generation,345008
2015-01-09,ISONE - Wind,10129
2015-01-09,MISO - PeakLoad,99602
2015-01-09,NYISO - PeakLoad,23069
2015-01-09,PJM - PeakLoad,122893
2015-01-09,SPP - Coal,424681
2015-01-09,SPP - Diesel,0
2015-01-09,SPP - Hydro,2809
2015-01-09,SPP - Natural Gas,186069
2015-01-09,SPP - Nuclear Power,60954
2015-01-09,SPP - PeakLoad,33964
2015-01-09,SPP - Total Generation,749514
2015-01-09,SPP - Wind,75002
2015-01-10,AESO - PeakLoad,10691
2015-01-10,BPA - PeakLoad,7499
2015-01-10,CAISO - Biogas,4029.0
2015-01-10,CAISO - Biomass,8184.0
2015-01-10,CAISO - Geothermal Steam,25555.0
2015-01-10,CAISO - Hydro,29993.0
2015-01-10,CAISO - Nuclear Power,54435.0
2015-01-10,CAISO - PeakLoad,26910
2015-01-10,CAISO - Power Imports,193615.0
2015-01-10,CAISO - Solar PV,16856.0
2015-01-10,CAISO - Solar Thermal,23.0
2015-01-10,CAISO - Thermal Power,215397.0
2015-01-10,CAISO - Total Generation,548813.0
2015-01-10,CAISO - Wind,726.0
2015-01-10,ERCOT - PeakLoad,50162
2015-01-10,IESO - Biofuel,55.0
2015-01-10,IESO - Hydro,113475.0
2015-01-10,IESO - Natural Gas,29394.0
2015-01-10,IESO - Nuclear Power,282975.0
2015-01-10,IESO - PeakLoad,20131
2015-01-10,IESO - Total Generation,480694.0
2015-01-10,IESO - Wind,54795.0
2015-01-10,ISONE - Coal,30021
2015-01-10,ISONE - Hydro,23854
2015-01-10,ISONE - Natural Gas,128012
2015-01-10,ISONE - Nuclear Power,97001
2015-01-10,ISONE - Other,21419
2015-01-10,ISONE - PeakLoad,18345
2015-01-10,ISONE - Residual Oil,9513
2015-01-10,ISONE - Solar Thermal,937
2015-01-10,ISONE - Total Generation,320567
2015-01-10,ISONE - Wind,9810
2015-01-10,MISO - PeakLoad,93203
2015-01-10,NYISO - PeakLoad,22334
2015-01-10,PJM - PeakLoad,119776
2015-01-10,SPP - Coal,354449
2015-01-10,SPP - Diesel,0
2015-01-10,SPP - Hydro,1889
2015-01-10,SPP - Natural Gas,140947
2015-01-10,SPP - Nuclear Power,60908
2015-01-10,SPP - PeakLoad,31446
2015-01-10,SPP - Total Generation,710285
2015-01-10,SPP - Wind,152092
2015-01-11,AESO - PeakLoad,10685
2015-01-11,BPA - PeakLoad,7459
2015-01-11,CAISO - Biogas,3954.0
2015-01-11,CAISO - Biomass,7854.0
2015-01-11,CAISO - Geothermal Steam,25497.0
2015-01-11,CAISO - Hydro,30119.0
2015-01-11,CAISO - Nuclear Power,54394.0
2015-01-11,CAISO - PeakLoad,27218
2015-01-11,CAISO - Power Imports,178566.0
2015-01-11,CAISO - Solar PV,11706.0
2015-01-11,CAISO - Solar Thermal,0.0
2015-01-11,CAISO - Thermal Power,221051.0
2015-01-11,CAISO - Total Generation,536606.0
2015-01-11,CAISO - Wind,3465.0
2015-01-11,ERCOT - PeakLoad,45089
