Date,Item,LNG_Bcf,Region,Pipe_Bcf
2015-04-14,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-15,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-16,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-17,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-18,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-19,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-20,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-21,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-22,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-23,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-24,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-25,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-26,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-27,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-28,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-29,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-04-30,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-01,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-02,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-03,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-04,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-05,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-06,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-07,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-08,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-09,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-10,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-11,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-12,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-13,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-14,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-15,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-16,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-17,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-18,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-19,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-20,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-21,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-22,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-23,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-24,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
