Date,item,value,region
07/19/2015,CONUS - Balance,16868.831480000008,Conus
07/20/2015,CONUS - Balance,14138.617530000003,Conus
07/21/2015,CONUS - Balance,16360.981279999993,Conus
07/22/2015,CONUS - Balance,16756.749129999997,Conus
07/23/2015,CONUS - Balance,16609.834690000018,Conus
07/24/2015,CONUS - Balance,16606.73964,Conus
07/25/2015,CONUS - Balance,19246.151580000012,Conus
07/26/2015,CONUS - Balance,18833.234030000014,Conus
07/27/2015,CONUS - Balance,14848.633399999992,Conus
07/28/2015,CONUS - Balance,13750.030440000002,Conus
07/29/2015,CONUS - Balance,14340.217489999995,Conus
07/30/2015,CONUS - Balance,14007.965949999998,Conus
07/31/2015,CONUS - Balance,15051.444099999993,Conus
08/01/2015,CONUS - Balance,20885.476129999995,Conus
08/02/2015,CONUS - Balance,20793.96475,Conus
08/03/2015,CONUS - Balance,17377.739579999994,Conus
08/04/2015,CONUS - Balance,16086.503920000003,Conus
08/05/2015,CONUS - Balance,14636.53665000001,Conus
08/06/2015,CONUS - Balance,15926.608580000015,Conus
08/07/2015,CONUS - Balance,15390.315500000012,Conus
08/08/2015,CONUS - Balance,17987.04935,Conus
08/09/2015,CONUS - Balance,17033.19047,Conus
08/10/2015,CONUS - Balance,13538.052179999999,Conus
08/11/2015,CONUS - Balance,14364.31193000001,Conus
08/12/2015,CONUS - Balance,15290.02535000001,Conus
08/13/2015,CONUS - Balance,15507.165470000007,Conus
08/14/2015,CONUS - Balance,15318.58891999998,Conus
08/15/2015,CONUS - Balance,19922.186830000006,Conus
08/16/2015,CONUS - Balance,20074.909679999997,Conus
08/17/2015,CONUS - Balance,17462.527900000016,Conus
08/18/2015,CONUS - Balance,16684.544819999996,Conus
08/19/2015,CONUS - Balance,18795.82346,Conus
08/20/2015,CONUS - Balance,21241.99068000001,Conus
08/21/2015,CONUS - Balance,19720.554330000006,Conus
08/22/2015,CONUS - Balance,23558.058250000002,Conus
08/23/2015,CONUS - Balance,23185.800570000007,Conus
08/24/2015,CONUS - Balance,19406.795899999997,Conus
08/25/2015,CONUS - Balance,20500.584230000008,Conus
08/26/2015,CONUS - Balance,20390.42947999999,Conus
08/27/2015,CONUS - Balance,19286.459600000002,Conus
08/28/2015,CONUS - Balance,17775.10372,Conus
08/29/2015,CONUS - Balance,19102.743359999993,Conus
08/30/2015,CONUS - Balance,20221.31858,Conus
08/31/2015,CONUS - Balance,17032.5591,Conus
09/01/2015,CONUS - Balance,17580.328859999994,Conus
09/02/2015,CONUS - Balance,17490.829779999985,Conus
09/03/2015,CONUS - Balance,16210.037100000001,Conus
09/04/2015,CONUS - Balance,16812.238960000002,Conus
09/05/2015,CONUS - Balance,20951.591799999995,Conus
09/06/2015,CONUS - Balance,19873.298600000002,Conus
09/07/2015,CONUS - Balance,14920.717969999998,Conus
09/08/2015,CONUS - Balance,13388.721300000005,Conus
09/09/2015,CONUS - Balance,12798.130520000006,Conus
09/10/2015,CONUS - Balance,13839.104480000009,Conus
09/11/2015,CONUS - Balance,15476.602800000008,Conus
09/12/2015,CONUS - Balance,21231.52062999999,Conus
09/13/2015,CONUS - Balance,22783.053960000012,Conus
09/14/2015,CONUS - Balance,21622.17729999999,Conus
09/15/2015,CONUS - Balance,22089.907139999996,Conus
09/16/2015,CONUS - Balance,21774.239960000006,Conus
09/17/2015,CONUS - Balance,21870.682120000005,Conus
09/18/2015,CONUS - Balance,20990.375640000006,Conus
09/19/2015,CONUS - Balance,22631.55889,Conus
09/20/2015,CONUS - Balance,19453.668309999994,Conus
09/21/2015,CONUS - Balance,17978.99115,Conus
09/22/2015,CONUS - Balance,20643.373000000007,Conus
09/23/2015,CONUS - Balance,20786.690020000002,Conus
